IDS,Dataset,Metrics,Runtime,Comment
Suricata - et-open,CTU-13,"{'FPR': 0.0, 'FNR': 0.97, 'DR': 0.03, 'FDR': 0.03, 'ACCURACY': 0.98, 'PRECISION': 0.97, 'F_SCORE': 0.06, 'UNASSIGNED_ALERTS_RATIO': 0.76}",852.611,TP 14837, FP 471, TN 19531530, FN 429862, Unassigned: 48601 of 63878
Suricata - et-open,UNSW-NB15,"{'FPR': 0.04, 'FNR': 0.98, 'DR': 0.02, 'FDR': 0.95, 'ACCURACY': 0.84, 'PRECISION': 0.05, 'F_SCORE': 0.03, 'UNASSIGNED_ALERTS_RATIO': 0.63}",693.816,TP 5146, FP 99000, TN 2119764, FN 316137, Unassigned: 173072 of 274031
Suricata - et-open,CIC-IDS2017,"{'FPR': 0.27, 'FNR': 0.33, 'DR': 0.67, 'FDR': 0.62, 'ACCURACY': 0.72, 'PRECISION': 0.38, 'F_SCORE': 0.48, 'UNASSIGNED_ALERTS_RATIO': 0.25}",1193.208,TP 373963, FP 621325, TN 1651772, FN 183683, Unassigned: 210022 of 854603
Suricata - abuse.ch,CTU-13,"{'FPR': 0.0, 'FNR': 0.97, 'DR': 0.03, 'FDR': 0.03, 'ACCURACY': 0.98, 'PRECISION': 0.97, 'F_SCORE': 0.06, 'UNASSIGNED_ALERTS_RATIO': 0.75}",6721.54,TP 14773, FP 467, TN 19531534, FN 429926, Unassigned: 46109 of 61318
Suricata - abuse.ch,UNSW-NB15,"{'FPR': 0.03, 'FNR': 0.99, 'DR': 0.01, 'FDR': 0.95, 'ACCURACY': 0.85, 'PRECISION': 0.05, 'F_SCORE': 0.02, 'UNASSIGNED_ALERTS_RATIO': 0.62}",1099.903,TP 3165, FP 58278, TN 2160486, FN 318118, Unassigned: 96794 of 156111
Suricata - abuse.ch,CIC-IDS2017,"{'FPR': 0.26, 'FNR': 0.33, 'DR': 0.67, 'FDR': 0.62, 'ACCURACY': 0.72, 'PRECISION': 0.38, 'F_SCORE': 0.48, 'UNASSIGNED_ALERTS_RATIO': 0.3}",1893.418,TP 371372, FP 594931, TN 1678166, FN 186274, Unassigned: 263695 of 881721
Suricata - All rules,CTU-13,"{'FPR': 0.0, 'FNR': 0.88, 'DR': 0.12, 'FDR': 0.05, 'ACCURACY': 0.98, 'PRECISION': 0.95, 'F_SCORE': 0.21, 'UNASSIGNED_ALERTS_RATIO': 0.63}",7794.605,TP 53692, FP 2696, TN 19529305, FN 391007, Unassigned: 54985 of 87354
Suricata - All rules,UNSW-NB15,"{'FPR': 0.05, 'FNR': 0.98, 'DR': 0.02, 'FDR': 0.95, 'ACCURACY': 0.84, 'PRECISION': 0.05, 'F_SCORE': 0.03, 'UNASSIGNED_ALERTS_RATIO': 0.63}",651.167,TP 5721, FP 101642, TN 2117122, FN 315562, Unassigned: 174861 of 278812
Suricata - All rules,CIC-IDS2017,"{'FPR': 0.35, 'FNR': 0.3, 'DR': 0.7, 'FDR': 0.67, 'ACCURACY': 0.66, 'PRECISION': 0.33, 'F_SCORE': 0.45, 'UNASSIGNED_ALERTS_RATIO': 0.23}",1941.416,TP 388239, FP 800127, TN 1472970, FN 169407, Unassigned: 229250 of 1013715
Snort - Community,CTU-13,"{'FPR': 0.0, 'FNR': 0.97, 'DR': 0.03, 'FDR': 0.17, 'ACCURACY': 0.98, 'PRECISION': 0.83, 'F_SCORE': 0.06, 'UNASSIGNED_ALERTS_RATIO': 0.7}",748.210976, TP 12080, FP 2527, TN 19529474, FN 432619, Unassigned: 21379 of 30536
Snort - Community,UNSW-NB15,"{'FPR': 0.29, 'FNR': 0.9, 'DR': 0.1, 'FDR': 0.95, 'ACCURACY': 0.64, 'PRECISION': 0.05, 'F_SCORE': 0.07, 'UNASSIGNED_ALERTS_RATIO': 0.07}",624.705558,TP 31793, FP 636491, TN 1582273, FN 289490, Unassigned: 51426 of 686221
Snort - Community,CIC-IDS2017,"{'FPR': 0.07, 'FNR': 0.42, 'DR': 0.58, 'FDR': 0.33, 'ACCURACY': 0.86, 'PRECISION': 0.67, 'F_SCORE': 0.62, 'UNASSIGNED_ALERTS_RATIO': 0.07}",1317.194643,CIC-IDS2017,TP 324523, FP 160103, TN 2112994, FN 233123, Unassigned: 22490 of 310593
Snort - LightSPD Balanced,CTU-13,"{'FPR': 0.0, 'FNR': 0.98, 'DR': 0.02, 'FDR': 0.01, 'ACCURACY': 0.98, 'PRECISION': 0.99, 'F_SCORE': 0.04, 'UNASSIGNED_ALERTS_RATIO': 0.21}",1465.597482,TP 11040, FP 62, TN 19531939, FN 433659, Unassigned: 1536 of 7195
