IDS,Dataset,Metrics,Runtime,Comment
Suricata - et-open,CTU-13,"{'FPR': 0.0, 'FNR': 0.96, 'DR': 0.04, 'FDR': 0.0, 'ACCURACY': 0.58, 'PRECISION': 1.0, 'F_SCORE': 0.08, 'UNASSIGNED_ALERTS_RATIO': 0.42}",4.48,TP 424, FP 0, TN 12405, FN 9451, Unassigned: 303 of 727
Suricata - et-open,UNSW-NB15,"{'FPR': 0.0, 'FNR': 1.0, 'DR': 0.0, 'FDR': 0.17, 'ACCURACY': 0.54, 'PRECISION': 0.83, 'F_SCORE': 0.0, 'UNASSIGNED_ALERTS_RATIO': 0.61}",5.06,TP 19, FP 4, TN 5542, FN 4796, Unassigned: 36 of 59
Suricata - et-open,CIC-IDS2017,"{'FPR': 0.19, 'FNR': 0.75, 'DR': 0.25, 'FDR': 0.38, 'ACCURACY': 0.5, 'PRECISION': 0.62, 'F_SCORE': 0.36, 'UNASSIGNED_ALERTS_RATIO': 0.66}",6.66,TP 1396, FP 848, TN 3698, FN 4174, Unassigned: 3626 of 5493
Suricata - abuse.ch B,CTU-13,"{'FPR': 0.0, 'FNR': 0.96, 'DR': 0.04, 'FDR': 0.0, 'ACCURACY': 0.58, 'PRECISION': 1.0, 'F_SCORE': 0.08, 'UNASSIGNED_ALERTS_RATIO': 0.42}",7.43,TP 424, FP 0, TN 12405, FN 9451, Unassigned: 302 of 726
Suricata - abuse.ch B,UNSW-NB15,"{'FPR': 0.0, 'FNR': 1.0, 'DR': 0.0, 'FDR': 0.17, 'ACCURACY': 0.54, 'PRECISION': 0.83, 'F_SCORE': 0.0, 'UNASSIGNED_ALERTS_RATIO': 0.61}",7.99,TP 19, FP 4, TN 5542, FN 4796, Unassigned: 36 of 59
Suricata - abuse.ch B,CIC-IDS2017,"{'FPR': 0.19, 'FNR': 0.75, 'DR': 0.25, 'FDR': 0.38, 'ACCURACY': 0.5, 'PRECISION': 0.62, 'F_SCORE': 0.36, 'UNASSIGNED_ALERTS_RATIO': 0.66}",9.18,TP 1396, FP 842, TN 3704, FN 4174, Unassigned: 3623 of 5484
Suricata - All,CTU-13,"{'FPR': 0.0, 'FNR': 0.84, 'DR': 0.16, 'FDR': 0.0, 'ACCURACY': 0.63, 'PRECISION': 1.0, 'F_SCORE': 0.28, 'UNASSIGNED_ALERTS_RATIO': 0.58}",13.56,TP 1569, FP 0, TN 12405, FN 8306, Unassigned: 1883 of 3234
Suricata - All,UNSW-NB15,"{'FPR': 0.01, 'FNR': 0.99, 'DR': 0.01, 'FDR': 0.35, 'ACCURACY': 0.54, 'PRECISION': 0.65, 'F_SCORE': 0.02, 'UNASSIGNED_ALERTS_RATIO': 0.37}",12.94,TP 54, FP 29, TN 5517, FN 4761, Unassigned: 46 of 125
Suricata - All,CIC-IDS2017,"{'FPR': 0.25, 'FNR': 0.73, 'DR': 0.27, 'FDR': 0.43, 'ACCURACY': 0.49, 'PRECISION': 0.57, 'F_SCORE': 0.37, 'UNASSIGNED_ALERTS_RATIO': 0.63}",14.83,TP 1529, FP 1134, TN 3412, FN 4041, Unassigned: 3802 of 6080
Snort - Community,CTU-13,"{'FPR': 0.0, 'FNR': 0.98, 'DR': 0.02, 'FDR': 0.0, 'ACCURACY': 0.57, 'PRECISION': 1.0, 'F_SCORE': 0.04, 'UNASSIGNED_ALERTS_RATIO': 0.19}",1.82,TP 185, FP 0, TN 12405, FN 9690, Unassigned: 42 of 227
