IDS,Dataset,Metrics,Runtime,Comment
Suricata - et-open,CTU-13,
Suricata - et-open,CIC-IDS2017,
Suricata - abuse.ch B,CTU-13,
Suricata - abuse.ch B,UNSW-NB15,
Suricata - abuse.ch B,CIC-IDS2017,
Suricata - All rules,CTU-13,
Suricata - All rules,UNSW-NB15,
Suricata - All rules,CIC-IDS2017,
Snort - Community,CTU-13,
Snort - Community,UNSW-NB15,
Snort - Community,CIC-IDS2017,
Snort - LightSPD Balanced,CTU-13,
Snort - LightSPD Balanced,UNSW-NB15,
Snort - LightSPD Balanced,CIC-IDS2017,
Snort - LightSPD Max-Detect,CTU-13,
Snort - LightSPD Max-Detect,UNSW-NB15,
Snort - LightSPD Max-Detect,CIC-IDS2017,
Snort - LightSPD All,CTU-13,
Snort - LightSPD All,UNSW-NB15,
Snort - LightSPD All,CIC-IDS2017,
Slips - Signature-based,CTU-13,
Slips - Signature-based,UNSW-NB15,,,,,,,,,,
Slips - Signature-based,CIC-IDS2017,,,,,,,,,,
Slips - ML-based,CTU-13,,,,,,,,,,
Slips - ML-based,UNSW-NB15,,,,,,,,,,
Slips - ML-based,CIC-IDS2017,,,,,,,,,,
Slips - All Modules,CTU-13,,,,,,,,,,
Slips - All Modules,UNSW-NB15,,,,,,,,,,
Slips - All Modules,CIC-IDS2017,,,,,,,,,,
Snort - Max-Detect + Community,CTU-13,,,,,,,,,,
Snort - Max-Detect + Community,UNSW-NB15,,,,,,,,,,
Snort - Max-Detect + Community,CIC-IDS2017,,,,,,,,,,
Suricata et-open+ Suricata abuse.ch,CTU-13,,,,,,,,,,
Suricata et-open+ Suricata abuse.ch,UNSW-NB15,,,,,,,,,,
Suricata et-open+ Suricata abuse.ch,CIC-IDS2017,,,,,,,,,,
Slips - Signature + Slips ML,CTU-13
Slips - Signature + Slips ML,UNSW-NB15
Slips - Signature + Slips ML,CIC-IDS2017
Snort All + Suricata All rules,CTU-13,,,,,,,,,,
Snort All + Suricata All rules,UNSW-NB15,,,,,,,,,,
Snort All + Suricata All rules,CIC-IDS2017,,,,,,,,,,
Slips - All + Suricata All,CTU-13,,,,,,,,,,
Slips - All + Suricata All,UNSW-NB15,,,,,,,,,,
Slips - All + Suricata All,CIC-IDS2017,,,,,,,,,,
Slips - All + Snort All,CTU-13,,,,,,,,,,
Slips - All + Snort All,UNSW-NB15,,,,,,,,,,
Slips - All + Snort All,CIC-IDS2017,,,,,,,,,,
Slips - All + Suricata All + Snort All,CTU-13,,,,,,,,,,
Slips - All + Suricata All + Snort All,UNSW-NB15,,,,,,,,,,
Slips - All + Suricata All + Snort All,CIC-IDS2017,,,,,,,,,,
