"Time","Slips-54717"
2025-06-10 16:26:00,0.0000501
2025-06-10 16:28:00,0.000592
2025-06-10 16:30:00,0.00263
2025-06-10 16:32:00,0.00387
2025-06-10 16:34:00,0.00477
2025-06-10 16:36:00,0.00599
2025-06-10 16:38:00,0.00730
2025-06-10 16:40:00,0.00838
2025-06-10 16:42:00,0.00938
2025-06-10 16:44:00,0.0104
2025-06-10 16:46:00,0.0122
2025-06-10 16:48:00,0.0135
2025-06-10 16:50:00,0.0148
2025-06-10 16:52:00,0.0155
2025-06-10 16:54:00,0.0169
2025-06-10 16:56:00,0.0182
2025-06-10 16:58:00,0.0202
2025-06-10 17:00:00,0.0220
2025-06-10 17:02:00,0.0233
2025-06-10 17:04:00,0.0245
2025-06-10 17:06:00,0.0268
2025-06-10 17:08:00,0.0280
2025-06-10 17:10:00,0.0289
2025-06-10 17:12:00,0.0297
2025-06-10 17:14:00,0.0306
2025-06-10 17:16:00,0.0318
2025-06-10 17:18:00,0.0331
2025-06-10 17:20:00,0.0346
2025-06-10 17:22:00,0.0358
2025-06-10 17:24:00,0.0370
2025-06-10 17:26:00,0.0380
2025-06-10 17:28:00,0.0390
2025-06-10 17:30:00,0.0394
2025-06-10 17:32:00,0.0394
2025-06-10 17:34:00,0.0394
2025-06-10 17:36:00,0.0394
2025-06-10 17:38:00,0.0394
2025-06-10 17:40:00,0.0394
2025-06-10 17:42:00,0.0394
2025-06-10 17:44:00,0.0394
2025-06-10 17:46:00,0.0394
2025-06-10 17:48:00,0.0394
2025-06-10 17:50:00,0.0394
2025-06-10 17:52:00,0.0394
2025-06-10 17:54:00,0.0394
2025-06-10 17:56:00,0.0420
2025-06-10 17:58:00,0.0436
2025-06-10 18:00:00,0.0446
2025-06-10 18:02:00,0.0455
2025-06-10 18:04:00,0.0465
2025-06-10 18:06:00,0.0475
2025-06-10 18:08:00,0.0482
2025-06-10 18:10:00,0.0487
2025-06-10 18:12:00,0.0495
2025-06-10 18:14:00,0.0504
2025-06-10 18:16:00,0.0515
2025-06-10 18:18:00,0.0538
2025-06-10 18:20:00,0.0568
2025-06-10 18:22:00,0.0600
2025-06-10 18:24:00,0.0632
2025-06-10 18:26:00,0.0665
2025-06-10 18:28:00,0.0696
2025-06-10 18:30:00,0.0720
2025-06-10 18:32:00,0.0755
2025-06-10 18:34:00,0.0788
2025-06-10 18:36:00,0.0823
2025-06-10 18:38:00,0.0845
2025-06-10 18:40:00,0.0861
2025-06-10 18:42:00,0.0880
2025-06-10 18:44:00,0.0894
2025-06-10 18:46:00,0.0907
2025-06-10 18:48:00,0.0920
2025-06-10 18:50:00,0.0934
2025-06-10 18:52:00,0.0947
2025-06-10 18:54:00,0.0960
2025-06-10 18:56:00,0.0973
2025-06-10 18:58:00,0.0986
2025-06-10 19:00:00,0.0997
2025-06-10 19:02:00,0.101
2025-06-10 19:04:00,0.103
2025-06-10 19:06:00,0.104
2025-06-10 19:08:00,0.106
2025-06-10 19:10:00,0.107
2025-06-10 19:12:00,0.109
2025-06-10 19:14:00,0.111
2025-06-10 19:16:00,0.112
2025-06-10 19:18:00,0.114
2025-06-10 19:20:00,0.115
2025-06-10 19:22:00,0.117
2025-06-10 19:24:00,0.118
2025-06-10 19:26:00,0.119
2025-06-10 19:28:00,0.121
2025-06-10 19:30:00,0.122
2025-06-10 19:32:00,0.124
2025-06-10 19:34:00,0.125
2025-06-10 19:36:00,0.127
2025-06-10 19:38:00,0.128
2025-06-10 19:40:00,0.129
2025-06-10 19:42:00,0.131
2025-06-10 19:44:00,0.132
2025-06-10 19:46:00,0.133
2025-06-10 19:48:00,0.135
2025-06-10 19:50:00,0.136
2025-06-10 19:52:00,0.137
2025-06-10 19:54:00,0.139
2025-06-10 19:56:00,0.140
2025-06-10 19:58:00,0.142
2025-06-10 20:00:00,0.143
2025-06-10 20:02:00,0.145
2025-06-10 20:04:00,0.146
2025-06-10 20:06:00,0.147
2025-06-10 20:08:00,0.149
2025-06-10 20:10:00,0.150
2025-06-10 20:12:00,0.150
2025-06-10 20:14:00,0.151
2025-06-10 20:16:00,0.151
2025-06-10 20:18:00,0.152
2025-06-10 20:20:00,0.152
2025-06-10 20:22:00,0.153
2025-06-10 20:24:00,0.153
2025-06-10 20:26:00,0.154
2025-06-10 20:28:00,0.154
2025-06-10 20:30:00,0.155
2025-06-10 20:32:00,0.155
2025-06-10 20:34:00,0.156
2025-06-10 20:36:00,0.156
2025-06-10 20:38:00,0.157
2025-06-10 20:40:00,0.158
2025-06-10 20:42:00,0.158
2025-06-10 20:44:00,0.159
2025-06-10 20:46:00,0.160
2025-06-10 20:48:00,0.161
2025-06-10 20:50:00,0.161
2025-06-10 20:52:00,0.162
2025-06-10 20:54:00,0.163
2025-06-10 20:56:00,0.163
2025-06-10 20:58:00,0.164
2025-06-10 21:00:00,0.164
2025-06-10 21:02:00,0.165
2025-06-10 21:04:00,0.166
2025-06-10 21:06:00,0.167
2025-06-10 21:08:00,0.167
2025-06-10 21:10:00,0.167
2025-06-10 21:12:00,0.168
2025-06-10 21:14:00,0.168
2025-06-10 21:16:00,0.169
2025-06-10 21:18:00,0.169
2025-06-10 21:20:00,0.169
2025-06-10 21:22:00,0.170
2025-06-10 21:24:00,0.170
2025-06-10 21:26:00,0.170
2025-06-10 21:28:00,0.171
2025-06-10 21:30:00,0.171
2025-06-10 21:32:00,0.171
2025-06-10 21:34:00,0.171
2025-06-10 21:36:00,0.171
2025-06-10 21:38:00,0.172
2025-06-10 21:40:00,0.172
2025-06-10 21:42:00,0.172
2025-06-10 21:44:00,0.172
2025-06-10 21:46:00,0.173
2025-06-10 21:48:00,0.173
2025-06-10 21:50:00,0.174
2025-06-10 21:52:00,0.174
2025-06-10 21:54:00,0.174
2025-06-10 21:56:00,0.175
2025-06-10 21:58:00,0.176
