"Time","Slips-54717"
2025-06-11 06:45:00,1687
2025-06-11 06:46:00,1687
2025-06-11 06:47:00,1688
2025-06-11 06:48:00,1688
2025-06-11 06:49:00,1687
2025-06-11 06:50:00,1687
2025-06-11 06:51:00,1687
2025-06-11 06:52:00,1675
2025-06-11 06:53:00,2979
2025-06-11 06:54:00,3025
2025-06-11 06:55:00,3057
2025-06-11 06:56:00,3067
2025-06-11 06:57:00,3076
2025-06-11 06:58:00,3083
2025-06-11 06:59:00,3085
2025-06-11 07:00:00,3074
2025-06-11 07:01:00,3161
2025-06-11 07:02:00,3271
2025-06-11 07:03:00,3282
2025-06-11 07:04:00,3291
2025-06-11 07:05:00,3392
2025-06-11 07:06:00,3492
2025-06-11 07:07:00,3511
2025-06-11 07:08:00,3516
2025-06-11 07:09:00,3527
2025-06-11 07:10:00,3530
2025-06-11 07:11:00,3531
2025-06-11 07:12:00,3522
2025-06-11 07:13:00,3534
2025-06-11 07:14:00,3543
2025-06-11 07:15:00,3549
2025-06-11 07:16:00,3563
2025-06-11 07:17:00,3575
2025-06-11 07:18:00,3570
2025-06-11 07:19:00,3577
2025-06-11 07:20:00,3518
2025-06-11 07:21:00,3505
2025-06-11 07:22:00,2079
2025-06-11 07:23:00,2081
2025-06-11 07:24:00,2082
2025-06-11 07:25:00,2083
2025-06-11 07:26:00,2085
2025-06-11 07:27:00,2069
2025-06-11 07:28:00,2070
2025-06-11 07:29:00,2072
2025-06-11 07:30:00,2074
2025-06-11 07:31:00,2075
2025-06-11 07:32:00,2076
2025-06-11 07:33:00,2078
2025-06-11 07:34:00,2078
2025-06-11 07:35:00,2079
2025-06-11 07:36:00,2080
2025-06-11 07:37:00,2080
2025-06-11 07:38:00,2081
2025-06-11 07:39:00,2081
2025-06-11 07:40:00,2082
2025-06-11 07:41:00,2057
2025-06-11 07:42:00,2058
2025-06-11 07:43:00,2059
2025-06-11 07:44:00,2059
2025-06-11 07:45:00,2060
2025-06-11 07:46:00,2060
2025-06-11 07:47:00,2062
2025-06-11 07:48:00,2062
2025-06-11 07:49:00,2063
2025-06-11 07:50:00,2063
2025-06-11 07:51:00,2064
2025-06-11 07:52:00,2065
2025-06-11 07:53:00,2066
2025-06-11 07:54:00,2067
2025-06-11 07:55:00,2067
2025-06-11 07:56:00,2068
2025-06-11 07:57:00,2069
2025-06-11 07:58:00,2070
2025-06-11 07:59:00,2071
2025-06-11 08:00:00,2071
2025-06-11 08:01:00,2072
2025-06-11 08:02:00,2072
2025-06-11 08:03:00,2074
2025-06-11 08:04:00,2075
2025-06-11 08:05:00,2075
2025-06-11 08:06:00,2076
2025-06-11 08:07:00,2077
2025-06-11 08:08:00,2079
2025-06-11 08:09:00,2079
2025-06-11 08:10:00,2079
2025-06-11 08:11:00,2080
2025-06-11 08:12:00,2081
2025-06-11 08:13:00,2082
2025-06-11 08:14:00,2082
2025-06-11 08:15:00,2083
2025-06-11 08:16:00,2084
