"Time","Snort-42121"
2025-05-30 10:28:00,0.00110
2025-05-30 10:28:15,0.00110
2025-05-30 10:28:30,0.00110
2025-05-30 10:28:45,0.00109
2025-05-30 10:29:00,0.00109
2025-05-30 10:29:15,0.00109
2025-05-30 10:29:30,0.00109
2025-05-30 10:29:45,0.00109
2025-05-30 10:30:00,0.00108
2025-05-30 10:30:15,0.00108
2025-05-30 10:30:30,0.00108
2025-05-30 10:30:45,0.00108
2025-05-30 10:31:00,0.00108
2025-05-30 10:31:15,0.00108
2025-05-30 10:31:30,0.00108
2025-05-30 10:31:45,0.00108
2025-05-30 10:32:00,0.00108
2025-05-30 10:32:15,0.00108
2025-05-30 10:32:30,0.00108
2025-05-30 10:32:45,0.00108
2025-05-30 10:33:00,0.00107
2025-05-30 10:33:15,0.00107
2025-05-30 10:33:30,0.00107
2025-05-30 10:33:45,0.00156
2025-05-30 10:34:00,0.00186
2025-05-30 10:34:15,0.00218
2025-05-30 10:34:30,0.00246
2025-05-30 10:34:45,0.00286
2025-05-30 10:35:00,0.00316
2025-05-30 10:35:15,0.00350
2025-05-30 10:35:30,0.00385
2025-05-30 10:35:45,0.00421
2025-05-30 10:36:00,0.00428
2025-05-30 10:36:15,0.00433
2025-05-30 10:36:30,0.00438
2025-05-30 10:36:45,0.00443
2025-05-30 10:37:00,0.00448
2025-05-30 10:37:15,0.00453
2025-05-30 10:37:30,0.00458
2025-05-30 10:37:45,0.00463
2025-05-30 10:38:00,0.00467
2025-05-30 10:38:15,0.00472
2025-05-30 10:38:30,0.00477
2025-05-30 10:38:45,0.00482
2025-05-30 10:39:00,0.00486
2025-05-30 10:39:15,0.00491
2025-05-30 10:39:30,0.00496
2025-05-30 10:39:45,0.00501
2025-05-30 10:40:00,0.00507
2025-05-30 10:40:15,0.00519
2025-05-30 10:40:30,0.00528
2025-05-30 10:40:45,0.00543
2025-05-30 10:41:00,0.00548
2025-05-30 10:41:15,0.00554
2025-05-30 10:41:30,0.00558
2025-05-30 10:41:45,0.00563
2025-05-30 10:42:00,0.00568
2025-05-30 10:42:15,0.00589
2025-05-30 10:42:30,0.00642
2025-05-30 10:42:45,0.00700
2025-05-30 10:43:00,0.00746
2025-05-30 10:43:15,0.00781
2025-05-30 10:43:30,0.00856
2025-05-30 10:43:45,0.00897
2025-05-30 10:44:00,0.00929
2025-05-30 10:44:15,0.00966
2025-05-30 10:44:30,0.00982
2025-05-30 10:44:45,0.00994
2025-05-30 10:45:00,0.0100
2025-05-30 10:45:15,0.0101
2025-05-30 10:45:30,0.0101
2025-05-30 10:45:45,0.0102
2025-05-30 10:46:00,0.0103
2025-05-30 10:46:15,0.0104
2025-05-30 10:46:30,0.0105
2025-05-30 10:46:45,0.0105
2025-05-30 10:47:00,0.0106
2025-05-30 10:47:15,0.0107
2025-05-30 10:47:30,0.0107
2025-05-30 10:47:45,0.0108
2025-05-30 10:48:00,0.0110
2025-05-30 10:48:15,0.0113
2025-05-30 10:48:30,0.0116
2025-05-30 10:48:45,0.0118
2025-05-30 10:49:00,0.0122
2025-05-30 10:49:15,0.0126
2025-05-30 10:49:30,0.0129
2025-05-30 10:49:45,0.0134
2025-05-30 10:50:00,0.0137
2025-05-30 10:50:15,0.0142
2025-05-30 10:50:30,0.0145
2025-05-30 10:50:45,0.0149
2025-05-30 10:51:00,0.0152
2025-05-30 10:51:15,0.0156
2025-05-30 10:51:30,0.0159
2025-05-30 10:51:45,0.0161
2025-05-30 10:52:00,0.0163
2025-05-30 10:52:15,0.0167
2025-05-30 10:52:30,0.0170
2025-05-30 10:52:45,0.0176
2025-05-30 10:53:00,0.0179
2025-05-30 10:53:15,0.0182
2025-05-30 10:53:30,0.0185
2025-05-30 10:53:45,0.0186
2025-05-30 10:54:00,0.0188
2025-05-30 10:54:15,0.0191
2025-05-30 10:54:30,0.0194
2025-05-30 10:54:45,0.0197
2025-05-30 10:55:00,0.0199
2025-05-30 10:55:15,0.0202
2025-05-30 10:55:30,0.0204
2025-05-30 10:55:45,0.0207
2025-05-30 10:56:00,0.0212
2025-05-30 10:56:15,0.0214
2025-05-30 10:56:30,0.0218
2025-05-30 10:56:45,0.0223
2025-05-30 10:57:00,0.0226
2025-05-30 10:57:15,0.0230
2025-05-30 10:57:30,0.0233
2025-05-30 10:57:45,0.0237
2025-05-30 10:58:00,0.0242
2025-05-30 10:58:15,0.0242
2025-05-30 10:58:30,0.0242
2025-05-30 10:58:45,0.0242
2025-05-30 10:59:00,0.0242
2025-05-30 10:59:15,0.0242
2025-05-30 10:59:30,0.0245
2025-05-30 10:59:45,0.0258
2025-05-30 11:00:00,0.0272
2025-05-30 11:00:15,0.0277
2025-05-30 11:00:30,0.0277
2025-05-30 11:00:45,0.0277
2025-05-30 11:01:00,0.0277
2025-05-30 11:01:15,0.0277
2025-05-30 11:01:30,0.0277
2025-05-30 11:01:45,0.0279
2025-05-30 11:02:00,0.0286
2025-05-30 11:02:15,0.0293
2025-05-30 11:02:30,0.0299
2025-05-30 11:02:45,0.0305
2025-05-30 11:03:00,0.0315
2025-05-30 11:03:15,0.0325
2025-05-30 11:03:30,0.0335
2025-05-30 11:03:45,0.0345
2025-05-30 11:04:00,0.0356
2025-05-30 11:04:15,0.0367
2025-05-30 11:04:30,0.0379
2025-05-30 11:04:45,0.0388
2025-05-30 11:05:00,0.0399
2025-05-30 11:05:15,0.0407
2025-05-30 11:05:30,0.0414
2025-05-30 11:05:45,0.0421
2025-05-30 11:06:00,0.0429
2025-05-30 11:06:15,0.0436
2025-05-30 11:06:30,0.0443
2025-05-30 11:06:45,0.0450
2025-05-30 11:07:00,0.0457
2025-05-30 11:07:15,0.0465
2025-05-30 11:07:30,0.0471
2025-05-30 11:07:45,0.0478
2025-05-30 11:08:00,0.0485
2025-05-30 11:08:15,0.0493
2025-05-30 11:08:30,0.0500
2025-05-30 11:08:45,0.0507
2025-05-30 11:09:00,0.0514
2025-05-30 11:09:15,0.0521
2025-05-30 11:09:30,0.0527
2025-05-30 11:09:45,0.0534
2025-05-30 11:10:00,0.0540
2025-05-30 11:10:15,0.0547
2025-05-30 11:10:30,0.0554
2025-05-30 11:10:45,0.0560
2025-05-30 11:11:00,0.0566
2025-05-30 11:11:15,0.0573
2025-05-30 11:11:30,0.0578
2025-05-30 11:11:45,0.0586
2025-05-30 11:12:00,0.0592
2025-05-30 11:12:15,0.0599
2025-05-30 11:12:30,0.0605
2025-05-30 11:12:45,0.0613
2025-05-30 11:13:00,0.0620
2025-05-30 11:13:15,0.0627
2025-05-30 11:13:30,0.0634
2025-05-30 11:13:45,0.0641
2025-05-30 11:14:00,0.0648
2025-05-30 11:14:15,0.0655
2025-05-30 11:14:30,0.0663
2025-05-30 11:14:45,0.0669
2025-05-30 11:15:00,0.0676
2025-05-30 11:15:15,0.0683
2025-05-30 11:15:30,0.0689
2025-05-30 11:15:45,0.0697
2025-05-30 11:16:00,0.0704
2025-05-30 11:16:15,0.0711
2025-05-30 11:16:30,0.0719
2025-05-30 11:16:45,0.0727
2025-05-30 11:17:00,0.0734
2025-05-30 11:17:15,0.0742
2025-05-30 11:17:30,0.0749
2025-05-30 11:17:45,0.0757
2025-05-30 11:18:00,0.0765
2025-05-30 11:18:15,0.0773
2025-05-30 11:18:30,0.0780
2025-05-30 11:18:45,0.0787
2025-05-30 11:19:00,0.0793
2025-05-30 11:19:15,0.0800
2025-05-30 11:19:30,0.0808
2025-05-30 11:19:45,0.0815
2025-05-30 11:20:00,0.0822
2025-05-30 11:20:15,0.0830
2025-05-30 11:20:30,0.0838
2025-05-30 11:20:45,0.0844
2025-05-30 11:21:00,0.0850
2025-05-30 11:21:15,0.0856
2025-05-30 11:21:30,0.0863
2025-05-30 11:21:45,0.0872
2025-05-30 11:22:00,0.0880
2025-05-30 11:22:15,0.0886
2025-05-30 11:22:30,0.0894
2025-05-30 11:22:45,0.0902
2025-05-30 11:23:00,0.0909
2025-05-30 11:23:15,0.0916
2025-05-30 11:23:30,0.0925
2025-05-30 11:23:45,0.0932
2025-05-30 11:24:00,0.0939
2025-05-30 11:24:15,0.0947
2025-05-30 11:24:30,0.0955
2025-05-30 11:24:45,0.0963
2025-05-30 11:25:00,0.0971
2025-05-30 11:25:15,0.0975
2025-05-30 11:25:30,0.0978
2025-05-30 11:25:45,0.0983
2025-05-30 11:26:00,0.0983
2025-05-30 11:26:15,0.0988
2025-05-30 11:26:30,0.0994
2025-05-30 11:26:45,0.100
2025-05-30 11:27:00,0.101
2025-05-30 11:27:15,0.102
2025-05-30 11:27:30,0.102
2025-05-30 11:27:45,0.103
2025-05-30 11:28:00,0.104
2025-05-30 11:28:15,0.105
2025-05-30 11:28:30,0.105
2025-05-30 11:28:45,0.106
2025-05-30 11:29:00,0.107
2025-05-30 11:29:15,0.107
2025-05-30 11:29:30,0.108
2025-05-30 11:29:45,0.109
2025-05-30 11:30:00,0.109
2025-05-30 11:30:15,0.110
2025-05-30 11:30:30,0.111
2025-05-30 11:30:45,0.111
2025-05-30 11:31:00,0.112
2025-05-30 11:31:15,0.113
2025-05-30 11:31:30,0.114
2025-05-30 11:31:45,0.114
2025-05-30 11:32:00,0.115
2025-05-30 11:32:15,0.116
2025-05-30 11:32:30,0.117
2025-05-30 11:32:45,0.118
2025-05-30 11:33:00,0.118
2025-05-30 11:33:15,0.119
2025-05-30 11:33:30,0.120
2025-05-30 11:33:45,0.120
2025-05-30 11:34:00,0.121
2025-05-30 11:34:15,0.122
2025-05-30 11:34:30,0.123
2025-05-30 11:34:45,0.124
2025-05-30 11:35:00,0.124
2025-05-30 11:35:15,0.125
2025-05-30 11:35:30,0.126
2025-05-30 11:35:45,0.126
2025-05-30 11:36:00,0.127
2025-05-30 11:36:15,0.128
2025-05-30 11:36:30,0.128
2025-05-30 11:36:45,0.129
2025-05-30 11:37:00,0.130
2025-05-30 11:37:15,0.131
2025-05-30 11:37:30,0.132
2025-05-30 11:37:45,0.132
2025-05-30 11:38:00,0.133
2025-05-30 11:38:15,0.134
2025-05-30 11:38:30,0.135
2025-05-30 11:38:45,0.136
2025-05-30 11:39:00,0.137
2025-05-30 11:39:15,0.137
2025-05-30 11:39:30,0.138
2025-05-30 11:39:45,0.139
2025-05-30 11:40:00,0.140
2025-05-30 11:40:15,0.140
2025-05-30 11:40:30,0.141
2025-05-30 11:40:45,0.142
2025-05-30 11:41:00,0.143
2025-05-30 11:41:15,0.144
2025-05-30 11:41:30,0.144
2025-05-30 11:41:45,0.145
2025-05-30 11:42:00,0.146
2025-05-30 11:42:15,0.147
2025-05-30 11:42:30,0.148
2025-05-30 11:42:45,0.148
2025-05-30 11:43:00,0.148
2025-05-30 11:43:15,0.148
2025-05-30 11:43:30,0.148
2025-05-30 11:43:45,0.148
2025-05-30 11:44:00,0.148
2025-05-30 11:44:15,0.148
2025-05-30 11:44:30,0.148
2025-05-30 11:44:45,0.148
2025-05-30 11:45:00,0.148
2025-05-30 11:45:15,0.148
2025-05-30 11:45:30,0.148
2025-05-30 11:45:45,0.148
2025-05-30 11:46:00,0.148
2025-05-30 11:46:15,0.148
2025-05-30 11:46:30,0.148
2025-05-30 11:46:45,0.148
2025-05-30 11:47:00,0.148
2025-05-30 11:47:15,0.148
2025-05-30 11:47:30,0.148
2025-05-30 11:47:45,0.148
2025-05-30 11:48:00,0.148
2025-05-30 11:48:15,0.148
2025-05-30 11:48:30,0.148
2025-05-30 11:48:45,0.148
2025-05-30 11:49:00,0.148
2025-05-30 11:49:15,0.148
2025-05-30 11:49:30,0.148
2025-05-30 11:49:45,0.148
2025-05-30 11:50:00,0.148
2025-05-30 11:50:15,0.148
2025-05-30 11:50:30,0.148
2025-05-30 11:50:45,0.148
2025-05-30 11:51:00,0.148
2025-05-30 11:51:15,0.148
2025-05-30 11:51:30,0.148
2025-05-30 11:51:45,0.148
2025-05-30 11:52:00,0.148
2025-05-30 11:52:15,0.148
2025-05-30 11:52:30,0.148
2025-05-30 11:52:45,0.148
2025-05-30 11:53:00,0.148
2025-05-30 11:53:15,0.148
2025-05-30 11:53:30,0.148
2025-05-30 11:53:45,0.148
2025-05-30 11:54:00,0.148
2025-05-30 11:54:15,0.148
2025-05-30 11:54:30,0.148
2025-05-30 11:54:45,0.148
2025-05-30 11:55:00,0.148
2025-05-30 11:55:15,0.148
2025-05-30 11:55:30,0.148
2025-05-30 11:55:45,0.148
2025-05-30 11:56:00,0.148
2025-05-30 11:56:15,0.148
2025-05-30 11:56:30,0.148
2025-05-30 11:56:45,0.148
2025-05-30 11:57:00,0.148
2025-05-30 11:57:15,0.148
2025-05-30 11:57:30,0.148
2025-05-30 11:57:45,0.148
2025-05-30 11:58:00,0.148
2025-05-30 11:58:15,0.148
2025-05-30 11:58:30,0.148
2025-05-30 11:58:45,0.148
2025-05-30 11:59:00,0.148
2025-05-30 11:59:15,0.148
2025-05-30 11:59:30,0.148
2025-05-30 11:59:45,0.148
2025-05-30 12:00:00,0.148
2025-05-30 12:00:15,0.148
2025-05-30 12:00:30,0.148
2025-05-30 12:00:45,0.148
2025-05-30 12:01:00,0.148
2025-05-30 12:01:15,0.148
2025-05-30 12:01:30,0.148
2025-05-30 12:01:45,0.148
2025-05-30 12:02:00,0.148
2025-05-30 12:02:15,0.148
2025-05-30 12:02:30,0.148
2025-05-30 12:02:45,0.148
2025-05-30 12:03:00,0.148
2025-05-30 12:03:15,0.148
2025-05-30 12:03:30,0.148
2025-05-30 12:03:45,0.148
2025-05-30 12:04:00,0.148
2025-05-30 12:04:15,0.148
2025-05-30 12:04:30,0.148
2025-05-30 12:04:45,0.148
2025-05-30 12:05:00,0.148
