"Time","Snort-42121"
2025-05-30 13:00:00,0.214
2025-05-30 13:00:15,0.214
2025-05-30 13:00:30,0.215
2025-05-30 13:00:45,0.216
2025-05-30 13:01:00,0.217
2025-05-30 13:01:15,0.217
2025-05-30 13:01:30,0.218
2025-05-30 13:01:45,0.219
2025-05-30 13:02:00,0.220
2025-05-30 13:02:15,0.221
2025-05-30 13:02:30,0.222
2025-05-30 13:02:45,0.223
2025-05-30 13:03:00,0.223
2025-05-30 13:03:15,0.224
2025-05-30 13:03:30,0.224
2025-05-30 13:03:45,0.224
2025-05-30 13:04:00,0.224
2025-05-30 13:04:15,0.223
2025-05-30 13:04:30,0.223
2025-05-30 13:04:45,0.223
2025-05-30 13:05:00,0.223
2025-05-30 13:05:15,0.223
2025-05-30 13:05:30,0.224
2025-05-30 13:05:45,0.224
2025-05-30 13:06:00,0.224
2025-05-30 13:06:15,0.225
2025-05-30 13:06:30,0.225
2025-05-30 13:06:45,0.225
2025-05-30 13:07:00,0.226
2025-05-30 13:07:15,0.226
2025-05-30 13:07:30,0.227
2025-05-30 13:07:45,0.227
2025-05-30 13:08:00,0.227
2025-05-30 13:08:15,0.228
2025-05-30 13:08:30,0.228
2025-05-30 13:08:45,0.229
2025-05-30 13:09:00,0.229
2025-05-30 13:09:15,0.229
2025-05-30 13:09:30,0.229
2025-05-30 13:09:45,0.229
2025-05-30 13:10:00,0.230
2025-05-30 13:10:15,0.230
2025-05-30 13:10:30,0.231
2025-05-30 13:10:45,0.231
2025-05-30 13:11:00,0.231
2025-05-30 13:11:15,0.231
2025-05-30 13:11:30,0.231
2025-05-30 13:11:45,0.230
2025-05-30 13:12:00,0.230
2025-05-30 13:12:15,0.230
2025-05-30 13:12:30,0.229
2025-05-30 13:12:45,0.229
2025-05-30 13:13:00,0.229
2025-05-30 13:13:15,0.229
2025-05-30 13:13:30,0.229
2025-05-30 13:13:45,0.230
2025-05-30 13:14:00,0.230
2025-05-30 13:14:15,0.230
2025-05-30 13:14:30,0.231
2025-05-30 13:14:45,0.231
2025-05-30 13:15:00,0.231
2025-05-30 13:15:15,0.231
2025-05-30 13:15:30,0.232
2025-05-30 13:15:45,0.232
2025-05-30 13:16:00,0.233
2025-05-30 13:16:15,0.233
2025-05-30 13:16:30,0.233
2025-05-30 13:16:45,0.234
2025-05-30 13:17:00,0.235
2025-05-30 13:17:15,0.237
2025-05-30 13:17:30,0.238
2025-05-30 13:17:45,0.240
2025-05-30 13:18:00,0.241
2025-05-30 13:18:15,0.242
2025-05-30 13:18:30,0.243
2025-05-30 13:18:45,0.244
2025-05-30 13:19:00,0.244
2025-05-30 13:19:15,0.245
2025-05-30 13:19:30,0.246
2025-05-30 13:19:45,0.246
2025-05-30 13:20:00,0.246
2025-05-30 13:20:15,0.246
2025-05-30 13:20:30,0.247
2025-05-30 13:20:45,0.248
2025-05-30 13:21:00,0.249
2025-05-30 13:21:15,0.249
2025-05-30 13:21:30,0.250
2025-05-30 13:21:45,0.250
2025-05-30 13:22:00,0.250
2025-05-30 13:22:15,0.250
2025-05-30 13:22:30,0.250
2025-05-30 13:22:45,0.250
2025-05-30 13:23:00,0.250
2025-05-30 13:23:15,0.250
2025-05-30 13:23:30,0.250
2025-05-30 13:23:45,0.250
2025-05-30 13:24:00,0.250
2025-05-30 13:24:15,0.251
2025-05-30 13:24:30,0.251
2025-05-30 13:24:45,0.251
2025-05-30 13:25:00,0.251
2025-05-30 13:25:15,0.251
2025-05-30 13:25:30,0.251
2025-05-30 13:25:45,0.251
2025-05-30 13:26:00,0.251
2025-05-30 13:26:15,0.251
2025-05-30 13:26:30,0.251
2025-05-30 13:26:45,0.251
2025-05-30 13:27:00,0.251
2025-05-30 13:27:15,0.251
2025-05-30 13:27:30,0.252
2025-05-30 13:27:45,0.252
2025-05-30 13:28:00,0.252
2025-05-30 13:28:15,0.253
2025-05-30 13:28:30,0.253
2025-05-30 13:28:45,0.251
2025-05-30 13:29:00,0.250
2025-05-30 13:29:15,0.249
2025-05-30 13:29:30,0.249
2025-05-30 13:29:45,0.250
2025-05-30 13:30:00,0.249
2025-05-30 13:30:15,0.249
2025-05-30 13:30:30,0.250
2025-05-30 13:30:45,0.249
2025-05-30 13:31:00,0.248
2025-05-30 13:31:15,0.247
2025-05-30 13:31:30,0.247
2025-05-30 13:31:45,0.246
2025-05-30 13:32:00,0.245
2025-05-30 13:32:15,0.243
2025-05-30 13:32:30,0.242
2025-05-30 13:32:45,0.241
2025-05-30 13:33:00,0.240
2025-05-30 13:33:15,0.241
2025-05-30 13:33:30,0.240
2025-05-30 13:33:45,0.239
2025-05-30 13:34:00,0.238
2025-05-30 13:34:15,0.237
2025-05-30 13:34:30,0.237
2025-05-30 13:34:45,0.236
2025-05-30 13:35:00,0.236
2025-05-30 13:35:15,0.235
2025-05-30 13:35:30,0.235
2025-05-30 13:35:45,0.234
2025-05-30 13:36:00,0.234
2025-05-30 13:36:15,0.233
2025-05-30 13:36:30,0.233
2025-05-30 13:36:45,0.232
2025-05-30 13:37:00,0.232
2025-05-30 13:37:15,0.231
2025-05-30 13:37:30,0.231
2025-05-30 13:37:45,0.230
2025-05-30 13:38:00,0.230
2025-05-30 13:38:15,0.229
2025-05-30 13:38:30,0.229
2025-05-30 13:38:45,0.229
2025-05-30 13:39:00,0.228
2025-05-30 13:39:15,0.227
2025-05-30 13:39:30,0.227
2025-05-30 13:39:45,0.226
2025-05-30 13:40:00,0.226
2025-05-30 13:40:15,0.225
2025-05-30 13:40:30,0.225
2025-05-30 13:40:45,0.224
2025-05-30 13:41:00,0.224
2025-05-30 13:41:15,0.223
2025-05-30 13:41:30,0.223
2025-05-30 13:41:45,0.222
2025-05-30 13:42:00,0.222
2025-05-30 13:42:15,0.221
2025-05-30 13:42:30,0.221
2025-05-30 13:42:45,0.220
2025-05-30 13:43:00,0.219
2025-05-30 13:43:15,0.219
2025-05-30 13:43:30,0.219
2025-05-30 13:43:45,0.218
2025-05-30 13:44:00,0.217
2025-05-30 13:44:15,0.217
2025-05-30 13:44:30,0.217
2025-05-30 13:44:45,0.216
2025-05-30 13:45:00,0.215
2025-05-30 13:45:15,0.215
2025-05-30 13:45:30,0.215
2025-05-30 13:45:45,0.214
2025-05-30 13:46:00,0.214
2025-05-30 13:46:15,0.213
2025-05-30 13:46:30,0.213
2025-05-30 13:46:45,0.213
2025-05-30 13:47:00,0.212
2025-05-30 13:47:15,0.212
2025-05-30 13:47:30,0.211
2025-05-30 13:47:45,0.211
2025-05-30 13:48:00,0.210
2025-05-30 13:48:15,0.209
2025-05-30 13:48:30,0.208
2025-05-30 13:48:45,0.207
2025-05-30 13:49:00,0.206
2025-05-30 13:49:15,0.205
2025-05-30 13:49:30,0.204
2025-05-30 13:49:45,0.204
2025-05-30 13:50:00,0.203
2025-05-30 13:50:15,0.202
2025-05-30 13:50:30,0.201
2025-05-30 13:50:45,0.200
2025-05-30 13:51:00,0.199
2025-05-30 13:51:15,0.198
2025-05-30 13:51:30,0.197
2025-05-30 13:51:45,0.197
2025-05-30 13:52:00,0.196
2025-05-30 13:52:15,0.195
2025-05-30 13:52:30,0.194
2025-05-30 13:52:45,0.193
2025-05-30 13:53:00,0.192
2025-05-30 13:53:15,0.191
2025-05-30 13:53:30,0.191
2025-05-30 13:53:45,0.190
2025-05-30 13:54:00,0.189
2025-05-30 13:54:15,0.188
2025-05-30 13:54:30,0.188
2025-05-30 13:54:45,0.187
2025-05-30 13:55:00,0.187
2025-05-30 13:55:15,0.187
2025-05-30 13:55:30,0.186
2025-05-30 13:55:45,0.185
2025-05-30 13:56:00,0.184
2025-05-30 13:56:15,0.184
2025-05-30 13:56:30,0.183
2025-05-30 13:56:45,0.183
2025-05-30 13:57:00,0.182
2025-05-30 13:57:15,0.182
2025-05-30 13:57:30,0.181
2025-05-30 13:57:45,0.181
2025-05-30 13:58:00,0.180
2025-05-30 13:58:15,0.180
2025-05-30 13:58:30,0.179
2025-05-30 13:58:45,0.179
2025-05-30 13:59:00,0.178
2025-05-30 13:59:15,0.178
2025-05-30 13:59:30,0.177
2025-05-30 13:59:45,0.176
2025-05-30 14:00:00,0.176
2025-05-30 14:00:15,0.175
2025-05-30 14:00:30,0.175
2025-05-30 14:00:45,0.174
2025-05-30 14:01:00,0.173
2025-05-30 14:01:15,0.172
2025-05-30 14:01:30,0.172
2025-05-30 14:01:45,0.171
2025-05-30 14:02:00,0.170
2025-05-30 14:02:15,0.170
2025-05-30 14:02:30,0.170
2025-05-30 14:02:45,0.169
2025-05-30 14:03:00,0.168
2025-05-30 14:03:15,0.168
2025-05-30 14:03:30,0.167
2025-05-30 14:03:45,0.166
2025-05-30 14:04:00,0.166
2025-05-30 14:04:15,0.165
2025-05-30 14:04:30,0.165
2025-05-30 14:04:45,0.164
2025-05-30 14:05:00,0.164
2025-05-30 14:05:15,0.163
2025-05-30 14:05:30,0.163
2025-05-30 14:05:45,0.162
2025-05-30 14:06:00,0.162
2025-05-30 14:06:15,0.161
2025-05-30 14:06:30,0.161
2025-05-30 14:06:45,0.160
2025-05-30 14:07:00,0.160
2025-05-30 14:07:15,0.159
2025-05-30 14:07:30,0.158
2025-05-30 14:07:45,0.158
2025-05-30 14:08:00,0.157
2025-05-30 14:08:15,0.156
