"Time","Snort-42121"
2025-06-02 08:29:45,2035
2025-06-02 08:30:00,2037
2025-06-02 08:30:15,2041
2025-06-02 08:30:30,2044
2025-06-02 08:30:45,2045
2025-06-02 08:31:00,2046
2025-06-02 08:31:15,2046
2025-06-02 08:31:30,2048
2025-06-02 08:31:45,2047
2025-06-02 08:32:00,2047
2025-06-02 08:32:15,2047
2025-06-02 08:32:30,2049
2025-06-02 08:32:45,2049
2025-06-02 08:33:00,2052
2025-06-02 08:33:15,2055
2025-06-02 08:33:30,2055
2025-06-02 08:33:45,2055
2025-06-02 08:34:00,2055
2025-06-02 08:34:15,2055
2025-06-02 08:34:30,2055
2025-06-02 08:34:45,2056
2025-06-02 08:35:00,2056
2025-06-02 08:35:15,2057
2025-06-02 08:35:30,2059
2025-06-02 08:35:45,2060
2025-06-02 08:36:00,2060
2025-06-02 08:36:15,2060
2025-06-02 08:36:30,2060
2025-06-02 08:36:45,2061
2025-06-02 08:37:00,2061
2025-06-02 08:37:15,2061
2025-06-02 08:37:30,2061
2025-06-02 08:37:45,2061
2025-06-02 08:38:00,2062
2025-06-02 08:38:15,2064
2025-06-02 08:38:30,2067
2025-06-02 08:38:45,2067
2025-06-02 08:39:00,2068
2025-06-02 08:39:15,2068
2025-06-02 08:39:30,2068
2025-06-02 08:39:45,2068
2025-06-02 08:40:00,2069
2025-06-02 08:40:15,2079
2025-06-02 08:40:30,2125
2025-06-02 08:40:45,484
2025-06-02 08:41:00,469
2025-06-02 08:41:15,463
2025-06-02 08:41:30,458
2025-06-02 08:41:45,453
2025-06-02 08:42:00,439
2025-06-02 08:42:15,429
2025-06-02 08:42:30,419
2025-06-02 08:42:45,418
2025-06-02 08:43:00,417
2025-06-02 08:43:15,707
2025-06-02 08:43:30,325
2025-06-02 08:43:45,319
2025-06-02 08:44:00,317
2025-06-02 08:44:15,316
2025-06-02 08:44:30,315
2025-06-02 08:44:45,314
2025-06-02 08:45:00,309
2025-06-02 08:45:15,308
2025-06-02 08:45:30,299
2025-06-02 08:45:45,295
2025-06-02 08:46:00,292
2025-06-02 08:46:15,292
2025-06-02 08:46:30,292
2025-06-02 08:46:45,292
2025-06-02 08:47:00,292
2025-06-02 08:47:15,290
2025-06-02 08:47:30,289
2025-06-02 08:47:45,281
2025-06-02 08:48:00,261
2025-06-02 08:48:15,253
2025-06-02 08:48:30,252
2025-06-02 08:48:45,251
2025-06-02 08:49:00,251
2025-06-02 08:49:15,250
2025-06-02 08:49:30,248
2025-06-02 08:49:45,248
2025-06-02 08:50:00,247
2025-06-02 08:50:15,246
2025-06-02 08:50:30,245
2025-06-02 08:50:45,244
2025-06-02 08:51:00,244
2025-06-02 08:51:15,242
