"Time","Suricata-54887"
2025-06-13 08:21:04,0.00928
2025-06-13 08:21:06,0.0148
2025-06-13 08:21:08,0.0148
2025-06-13 08:21:10,0.0151
2025-06-13 08:21:12,0.0148
2025-06-13 08:21:14,0.0149
2025-06-13 08:21:16,0.0150
2025-06-13 08:21:18,0.0149
2025-06-13 08:21:20,0.0150
2025-06-13 08:21:22,0.0148
2025-06-13 08:21:24,0.0149
2025-06-13 08:21:26,0.0150
2025-06-13 08:21:28,0.0148
2025-06-13 08:21:30,0.0150
2025-06-13 08:21:32,0.0174
2025-06-13 08:21:34,0.0261
2025-06-13 08:21:36,0.0262
2025-06-13 08:21:38,0.0264
2025-06-13 08:21:40,0.0264
2025-06-13 08:21:42,0.0265
2025-06-13 08:21:44,0.0263
2025-06-13 08:21:46,0.0264
2025-06-13 08:21:48,0.0266
2025-06-13 08:21:50,0.0267
2025-06-13 08:21:52,0.0267
2025-06-13 08:21:54,0.0265
2025-06-13 08:21:56,0.0262
2025-06-13 08:21:58,0.0263
2025-06-13 08:22:00,0.0264
2025-06-13 08:22:02,0.0266
2025-06-13 08:22:04,0.0263
2025-06-13 08:22:06,0.0264
2025-06-13 08:22:08,0.0265
2025-06-13 08:22:10,0.0268
2025-06-13 08:22:12,0.0269
2025-06-13 08:22:14,0.0338
2025-06-13 08:22:16,0.0434
2025-06-13 08:22:18,0.0434
2025-06-13 08:22:20,0.0436
2025-06-13 08:22:22,0.0437
2025-06-13 08:22:24,0.0437
2025-06-13 08:22:26,0.0438
2025-06-13 08:22:28,0.0435
2025-06-13 08:22:30,0.0438
2025-06-13 08:22:32,0.0439
2025-06-13 08:22:34,0.0435
2025-06-13 08:22:36,0.0437
2025-06-13 08:22:38,0.0438
2025-06-13 08:22:40,0.0436
2025-06-13 08:22:42,0.0437
2025-06-13 08:22:44,0.0438
2025-06-13 08:22:46,0.0436
2025-06-13 08:22:48,0.0437
2025-06-13 08:22:50,0.0438
2025-06-13 08:22:52,0.0435
2025-06-13 08:22:54,0.0441
2025-06-13 08:22:56,0.0439
2025-06-13 08:22:58,0.0436
2025-06-13 08:23:00,0.0442
2025-06-13 08:23:02,0.0441
2025-06-13 08:23:04,0.0467
2025-06-13 08:23:06,0.0503
2025-06-13 08:23:08,0.0503
2025-06-13 08:23:10,0.0625
2025-06-13 08:23:12,0.0623
2025-06-13 08:23:14,0.0624
2025-06-13 08:23:16,0.0627
2025-06-13 08:23:18,0.0623
2025-06-13 08:23:20,0.0624
2025-06-13 08:23:22,0.0626
2025-06-13 08:23:24,0.0627
2025-06-13 08:23:26,0.0627
2025-06-13 08:23:28,0.0627
2025-06-13 08:23:30,0.0628
2025-06-13 08:23:32,0.0629
2025-06-13 08:23:34,0.0624
2025-06-13 08:23:36,0.0625
2025-06-13 08:23:38,0.0627
2025-06-13 08:23:40,0.0629
2025-06-13 08:23:42,0.0642
2025-06-13 08:23:44,0.0649
2025-06-13 08:23:46,0.0736
2025-06-13 08:23:48,0.0787
2025-06-13 08:23:50,0.0796
2025-06-13 08:23:52,0.0796
2025-06-13 08:23:54,0.0798
2025-06-13 08:23:56,0.0795
2025-06-13 08:23:58,0.0795
2025-06-13 08:24:00,0.0797
2025-06-13 08:24:02,0.0794
2025-06-13 08:24:04,0.0795
2025-06-13 08:24:06,0.0795
2025-06-13 08:24:08,0.0797
2025-06-13 08:24:10,0.0794
2025-06-13 08:24:12,0.0795
2025-06-13 08:24:14,0.0797
2025-06-13 08:24:16,0.0799
2025-06-13 08:24:18,0.0805
2025-06-13 08:24:20,0.0852
2025-06-13 08:24:22,0.0892
2025-06-13 08:24:24,0.0945
2025-06-13 08:24:26,0.103
2025-06-13 08:24:28,0.103
2025-06-13 08:24:30,0.103
2025-06-13 08:24:32,0.103
2025-06-13 08:24:34,0.103
2025-06-13 08:24:36,0.103
2025-06-13 08:24:38,0.103
2025-06-13 08:24:40,0.103
2025-06-13 08:24:42,0.103
2025-06-13 08:24:44,0.103
2025-06-13 08:24:46,0.103
2025-06-13 08:24:48,0.103
2025-06-13 08:24:50,0.103
2025-06-13 08:24:52,0.103
