"Time","Suricata-56027"
2025-06-02 08:20:44,0.360
2025-06-02 08:20:46,0.357
2025-06-02 08:20:48,0.359
2025-06-02 08:20:50,0.358
2025-06-02 08:20:52,0.358
2025-06-02 08:20:54,0.357
2025-06-02 08:20:56,0.355
2025-06-02 08:20:58,0.356
2025-06-02 08:21:00,0.358
2025-06-02 08:21:02,0.356
2025-06-02 08:21:04,0.355
2025-06-02 08:21:06,0.351
2025-06-02 08:21:08,0.349
2025-06-02 08:21:10,0.347
2025-06-02 08:21:12,0.340
2025-06-02 08:21:14,0.340
2025-06-02 08:21:16,0.336
2025-06-02 08:21:18,0.334
2025-06-02 08:21:20,0.331
2025-06-02 08:21:22,0.327
2025-06-02 08:21:24,0.323
2025-06-02 08:21:26,0.322
2025-06-02 08:21:28,0.318
2025-06-02 08:21:30,0.315
2025-06-02 08:21:32,0.310
2025-06-02 08:21:34,0.309
2025-06-02 08:21:36,0.305
2025-06-02 08:21:38,0.299
2025-06-02 08:21:40,0.300
2025-06-02 08:21:42,0.297
2025-06-02 08:21:44,0.293
2025-06-02 08:21:46,0.290
2025-06-02 08:21:48,0.286
2025-06-02 08:21:50,0.286
2025-06-02 08:21:52,0.282
2025-06-02 08:21:54,0.281
2025-06-02 08:21:56,0.279
2025-06-02 08:21:58,0.279
2025-06-02 08:22:00,0.276
2025-06-02 08:22:02,0.272
2025-06-02 08:22:04,0.271
2025-06-02 08:22:06,0.267
2025-06-02 08:22:08,0.266
2025-06-02 08:22:10,0.267
2025-06-02 08:22:12,0.264
2025-06-02 08:22:14,0.260
2025-06-02 08:22:16,0.260
2025-06-02 08:22:18,0.256
2025-06-02 08:22:20,0.254
2025-06-02 08:22:22,0.252
2025-06-02 08:22:24,0.250
2025-06-02 08:22:26,0.247
2025-06-02 08:22:28,0.247
2025-06-02 08:22:30,0.244
2025-06-02 08:22:32,0.243
2025-06-02 08:22:34,0.241
2025-06-02 08:22:36,0.239
2025-06-02 08:22:38,0.236
2025-06-02 08:22:40,0.231
2025-06-02 08:22:42,0.229
2025-06-02 08:22:44,0.227
2025-06-02 08:22:46,0.227
2025-06-02 08:22:48,0.233
2025-06-02 08:22:50,0.240
2025-06-02 08:22:52,0.242
2025-06-02 08:22:54,0.239
2025-06-02 08:22:56,0.245
2025-06-02 08:22:58,0.248
2025-06-02 08:23:00,0.244
2025-06-02 08:23:02,0.257
2025-06-02 08:23:04,0.256
2025-06-02 08:23:06,0.258
2025-06-02 08:23:08,0.264
2025-06-02 08:23:10,0.263
2025-06-02 08:23:12,0.259
2025-06-02 08:23:14,0.268
2025-06-02 08:23:16,0.265
2025-06-02 08:23:18,0.272
2025-06-02 08:23:20,0.273
2025-06-02 08:23:22,0.280
2025-06-02 08:23:24,0.283
2025-06-02 08:23:26,0.284
2025-06-02 08:23:28,0.284
2025-06-02 08:23:30,0.291
2025-06-02 08:23:32,0.294
2025-06-02 08:23:34,0.298
2025-06-02 08:23:36,0.302
2025-06-02 08:23:38,0.306
2025-06-02 08:23:40,0.306
2025-06-02 08:23:42,0.314
2025-06-02 08:23:44,0.315
2025-06-02 08:23:46,0.315
2025-06-02 08:23:48,0.319
2025-06-02 08:23:50,0.327
2025-06-02 08:23:52,0.330
2025-06-02 08:23:54,0.328
2025-06-02 08:23:56,0.338
2025-06-02 08:23:58,0.340
2025-06-02 08:24:00,0.340
2025-06-02 08:24:02,0.346
2025-06-02 08:24:04,0.349
2025-06-02 08:24:06,0.347
2025-06-02 08:24:08,0.353
2025-06-02 08:24:10,0.359
2025-06-02 08:24:12,0.356
2025-06-02 08:24:14,0.364
2025-06-02 08:24:16,0.368
2025-06-02 08:24:18,0.375
2025-06-02 08:24:20,0.377
2025-06-02 08:24:22,0.376
2025-06-02 08:24:24,0.385
2025-06-02 08:24:26,0.384
2025-06-02 08:24:28,0.389
2025-06-02 08:24:30,0.395
2025-06-02 08:24:32,0.397
2025-06-02 08:24:34,0.399
2025-06-02 08:24:36,0.400
2025-06-02 08:24:38,0.406
2025-06-02 08:24:40,0.410
2025-06-02 08:24:42,0.409
2025-06-02 08:24:44,0.416
2025-06-02 08:24:46,0.418
2025-06-02 08:24:48,0.421
2025-06-02 08:24:50,0.424
2025-06-02 08:24:52,0.430
2025-06-02 08:24:54,0.428
2025-06-02 08:24:56,0.437
2025-06-02 08:24:58,0.434
2025-06-02 08:25:00,0.440
2025-06-02 08:25:02,0.444
2025-06-02 08:25:04,0.446
2025-06-02 08:25:06,0.450
2025-06-02 08:25:08,0.452
2025-06-02 08:25:10,0.449
2025-06-02 08:25:12,0.456
2025-06-02 08:25:14,0.458
2025-06-02 08:25:16,0.458
2025-06-02 08:25:18,0.463
2025-06-02 08:25:20,0.468
2025-06-02 08:25:22,0.468
2025-06-02 08:25:24,0.467
2025-06-02 08:25:26,0.474
2025-06-02 08:25:28,0.479
2025-06-02 08:25:30,0.478
2025-06-02 08:25:32,0.483
2025-06-02 08:25:34,0.483
2025-06-02 08:25:36,0.488
2025-06-02 08:25:38,0.489
2025-06-02 08:25:40,0.487
2025-06-02 08:25:42,0.493
2025-06-02 08:25:44,0.497
