"Time","Suricata-56027"
2025-05-30 08:30:00,0.0256
2025-05-30 08:30:10,0.0262
2025-05-30 08:30:20,0.0267
2025-05-30 08:30:30,0.0272
2025-05-30 08:30:40,0.0274
2025-05-30 08:30:50,0.0279
2025-05-30 08:31:00,0.0285
2025-05-30 08:31:10,0.0287
2025-05-30 08:31:20,0.0289
2025-05-30 08:31:30,0.0294
2025-05-30 08:31:40,0.0295
2025-05-30 08:31:50,0.0301
2025-05-30 08:32:00,0.0308
2025-05-30 08:32:10,0.0312
2025-05-30 08:32:20,0.0316
2025-05-30 08:32:30,0.0324
2025-05-30 08:32:40,0.0328
2025-05-30 08:32:50,0.0333
2025-05-30 08:33:00,0.0336
2025-05-30 08:33:10,0.0339
2025-05-30 08:33:20,0.0344
2025-05-30 08:33:30,0.0351
2025-05-30 08:33:40,0.0353
2025-05-30 08:33:50,0.0355
2025-05-30 08:34:00,0.0357
2025-05-30 08:34:10,0.0360
2025-05-30 08:34:20,0.0370
2025-05-30 08:34:30,0.0375
2025-05-30 08:34:40,0.0378
2025-05-30 08:34:50,0.0384
2025-05-30 08:35:00,0.0387
2025-05-30 08:35:10,0.0393
2025-05-30 08:35:20,0.0397
2025-05-30 08:35:30,0.0405
2025-05-30 08:35:40,0.0409
2025-05-30 08:35:50,0.0417
2025-05-30 08:36:00,0.0422
2025-05-30 08:36:10,0.0427
2025-05-30 08:36:20,0.0434
2025-05-30 08:36:30,0.0439
2025-05-30 08:36:40,0.0442
2025-05-30 08:36:50,0.0446
2025-05-30 08:37:00,0.0447
2025-05-30 08:37:10,0.0449
2025-05-30 08:37:20,0.0450
2025-05-30 08:37:30,0.0452
2025-05-30 08:37:40,0.0455
2025-05-30 08:37:50,0.0459
2025-05-30 08:38:00,0.0465
2025-05-30 08:38:10,0.0467
2025-05-30 08:38:20,0.0469
2025-05-30 08:38:30,0.0471
2025-05-30 08:38:40,0.0473
2025-05-30 08:38:50,0.0475
2025-05-30 08:39:00,0.0477
2025-05-30 08:39:10,0.0479
2025-05-30 08:39:20,0.0483
2025-05-30 08:39:30,0.0491
2025-05-30 08:39:40,0.0500
2025-05-30 08:39:50,0.0505
2025-05-30 08:40:00,0.0509
2025-05-30 08:40:10,0.0515
2025-05-30 08:40:20,0.0522
2025-05-30 08:40:30,0.0526
2025-05-30 08:40:40,0.0530
2025-05-30 08:40:50,0.0536
2025-05-30 08:41:00,0.0538
2025-05-30 08:41:10,0.0545
2025-05-30 08:41:20,0.0549
2025-05-30 08:41:30,0.0556
2025-05-30 08:41:40,0.0558
2025-05-30 08:41:50,0.0564
2025-05-30 08:42:00,0.0572
2025-05-30 08:42:10,0.0575
2025-05-30 08:42:20,0.0582
2025-05-30 08:42:30,0.0585
2025-05-30 08:42:40,0.0587
2025-05-30 08:42:50,0.0590
2025-05-30 08:43:00,0.0597
2025-05-30 08:43:10,0.0599
2025-05-30 08:43:20,0.0602
2025-05-30 08:43:30,0.0605
2025-05-30 08:43:40,0.0607
2025-05-30 08:43:50,0.0613
2025-05-30 08:44:00,0.0623
2025-05-30 08:44:10,0.0625
2025-05-30 08:44:20,0.0643
2025-05-30 08:44:30,0.0647
2025-05-30 08:44:40,0.0650
2025-05-30 08:44:50,0.0656
2025-05-30 08:45:00,0.0659
2025-05-30 08:45:10,0.0664
2025-05-30 08:45:20,0.0667
2025-05-30 08:45:30,0.0673
2025-05-30 08:45:40,0.0675
2025-05-30 08:45:50,0.0681
2025-05-30 08:46:00,0.0685
2025-05-30 08:46:10,0.0689
2025-05-30 08:46:20,0.0695
2025-05-30 08:46:30,0.0697
2025-05-30 08:46:40,0.0700
2025-05-30 08:46:50,0.0709
2025-05-30 08:47:00,0.0711
2025-05-30 08:47:10,0.0714
2025-05-30 08:47:20,0.0719
2025-05-30 08:47:30,0.0722
2025-05-30 08:47:40,0.0733
2025-05-30 08:47:50,0.0741
2025-05-30 08:48:00,0.0743
2025-05-30 08:48:10,0.0749
2025-05-30 08:48:20,0.0753
2025-05-30 08:48:30,0.0756
2025-05-30 08:48:40,0.0758
2025-05-30 08:48:50,0.0760
2025-05-30 08:49:00,0.0762
2025-05-30 08:49:10,0.0767
2025-05-30 08:49:20,0.0771
2025-05-30 08:49:30,0.0773
2025-05-30 08:49:40,0.0780
2025-05-30 08:49:50,0.0782
2025-05-30 08:50:00,0.0788
2025-05-30 08:50:10,0.0793
2025-05-30 08:50:20,0.0796
2025-05-30 08:50:30,0.0798
2025-05-30 08:50:40,0.0801
2025-05-30 08:50:50,0.0808
2025-05-30 08:51:00,0.0819
2025-05-30 08:51:10,0.0825
2025-05-30 08:51:20,0.0828
2025-05-30 08:51:30,0.0831
2025-05-30 08:51:40,0.0835
2025-05-30 08:51:50,0.0842
2025-05-30 08:52:00,0.0847
2025-05-30 08:52:10,0.0851
2025-05-30 08:52:20,0.0855
2025-05-30 08:52:30,0.0861
2025-05-30 08:52:40,0.0864
2025-05-30 08:52:50,0.0869
2025-05-30 08:53:00,0.0871
2025-05-30 08:53:10,0.0877
2025-05-30 08:53:20,0.0882
2025-05-30 08:53:30,0.0886
2025-05-30 08:53:40,0.0889
2025-05-30 08:53:50,0.0895
2025-05-30 08:54:00,0.0901
2025-05-30 08:54:10,0.0905
2025-05-30 08:54:20,0.0911
2025-05-30 08:54:30,0.0917
2025-05-30 08:54:40,0.0921
2025-05-30 08:54:50,0.0924
2025-05-30 08:55:00,0.0928
2025-05-30 08:55:10,0.0935
2025-05-30 08:55:20,0.0937
2025-05-30 08:55:30,0.0940
2025-05-30 08:55:40,0.0942
2025-05-30 08:55:50,0.0944
2025-05-30 08:56:00,0.0946
2025-05-30 08:56:10,0.0953
2025-05-30 08:56:20,0.0956
2025-05-30 08:56:30,0.0963
2025-05-30 08:56:40,0.0978
2025-05-30 08:56:50,0.0983
2025-05-30 08:57:00,0.0987
2025-05-30 08:57:10,0.0992
2025-05-30 08:57:20,0.0998
2025-05-30 08:57:30,0.100
2025-05-30 08:57:40,0.100
2025-05-30 08:57:50,0.101
2025-05-30 08:58:00,0.101
2025-05-30 08:58:10,0.101
2025-05-30 08:58:20,0.102
2025-05-30 08:58:30,0.102
2025-05-30 08:58:40,0.104
2025-05-30 08:58:50,0.104
2025-05-30 08:59:00,0.104
2025-05-30 08:59:10,0.104
2025-05-30 08:59:20,0.106
2025-05-30 08:59:30,0.106
2025-05-30 08:59:40,0.107
2025-05-30 08:59:50,0.107
2025-05-30 09:00:00,0.108
2025-05-30 09:00:10,0.108
2025-05-30 09:00:20,0.108
2025-05-30 09:00:30,0.109
2025-05-30 09:00:40,0.109
2025-05-30 09:00:50,0.110
2025-05-30 09:01:00,0.110
2025-05-30 09:01:10,0.111
2025-05-30 09:01:20,0.111
2025-05-30 09:01:30,0.112
2025-05-30 09:01:40,0.112
2025-05-30 09:01:50,0.112
2025-05-30 09:02:00,0.113
2025-05-30 09:02:10,0.113
2025-05-30 09:02:20,0.114
2025-05-30 09:02:30,0.115
2025-05-30 09:02:40,0.115
