"Time","Suricata-56027"
2025-06-02 19:10:00,0.00144
2025-06-02 19:10:02,0.00144
2025-06-02 19:10:04,0.00284
2025-06-02 19:10:06,0.00367
2025-06-02 19:10:08,0.00532
2025-06-02 19:10:10,0.00533
2025-06-02 19:10:12,0.00720
2025-06-02 19:10:14,0.00840
2025-06-02 19:10:16,0.0107
2025-06-02 19:10:18,0.0108
2025-06-02 19:10:20,0.0128
2025-06-02 19:10:22,0.0150
2025-06-02 19:10:24,0.0161
2025-06-02 19:10:26,0.0173
2025-06-02 19:10:28,0.0185
2025-06-02 19:10:30,0.0185
2025-06-02 19:10:32,0.0212
2025-06-02 19:10:34,0.0212
2025-06-02 19:10:36,0.0237
2025-06-02 19:10:38,0.0237
2025-06-02 19:10:40,0.0258
2025-06-02 19:10:42,0.0271
2025-06-02 19:10:44,0.0285
2025-06-02 19:10:46,0.0303
2025-06-02 19:10:48,0.0325
2025-06-02 19:10:50,0.0337
2025-06-02 19:10:52,0.0353
2025-06-02 19:10:54,0.0353
2025-06-02 19:10:56,0.0375
2025-06-02 19:10:58,0.0391
2025-06-02 19:11:00,0.0391
2025-06-02 19:11:02,0.0406
2025-06-02 19:11:04,0.0427
2025-06-02 19:11:06,0.0427
2025-06-02 19:11:08,0.0449
2025-06-02 19:11:10,0.0462
2025-06-02 19:11:12,0.0484
2025-06-02 19:11:14,0.0484
2025-06-02 19:11:16,0.0508
2025-06-02 19:11:18,0.0528
2025-06-02 19:11:20,0.0544
2025-06-02 19:11:22,0.0556
2025-06-02 19:11:24,0.0556
2025-06-02 19:11:26,0.0584
2025-06-02 19:11:28,0.0597
2025-06-02 19:11:30,0.0608
2025-06-02 19:11:32,0.0618
2025-06-02 19:11:34,0.0618
2025-06-02 19:11:36,0.0633
2025-06-02 19:11:38,0.0651
2025-06-02 19:11:40,0.0662
2025-06-02 19:11:42,0.0662
2025-06-02 19:11:44,0.0683
2025-06-02 19:11:46,0.0704
2025-06-02 19:11:48,0.0712
2025-06-02 19:11:50,0.0732
2025-06-02 19:11:52,0.0744
2025-06-02 19:11:54,0.0744
2025-06-02 19:11:56,0.0759
2025-06-02 19:11:58,0.0782
2025-06-02 19:12:00,0.0793
2025-06-02 19:12:02,0.0793
2025-06-02 19:12:04,0.0814
2025-06-02 19:12:06,0.0815
2025-06-02 19:12:08,0.0834
2025-06-02 19:12:10,0.0843
2025-06-02 19:12:12,0.0844
2025-06-02 19:12:14,0.0860
2025-06-02 19:12:16,0.0870
2025-06-02 19:12:18,0.0880
2025-06-02 19:12:20,0.0893
2025-06-02 19:12:22,0.0902
2025-06-02 19:12:24,0.0919
2025-06-02 19:12:26,0.0919
2025-06-02 19:12:28,0.0936
2025-06-02 19:12:30,0.0959
2025-06-02 19:12:32,0.0960
2025-06-02 19:12:34,0.0975
2025-06-02 19:12:36,0.0998
2025-06-02 19:12:38,0.101
2025-06-02 19:12:40,0.102
2025-06-02 19:12:42,0.104
2025-06-02 19:12:44,0.104
2025-06-02 19:12:46,0.106
2025-06-02 19:12:48,0.107
2025-06-02 19:12:50,0.109
2025-06-02 19:12:52,0.110
2025-06-02 19:12:54,0.111
2025-06-02 19:12:56,0.111
2025-06-02 19:12:58,0.114
2025-06-02 19:13:00,0.115
2025-06-02 19:13:02,0.117
2025-06-02 19:13:04,0.117
2025-06-02 19:13:06,0.118
2025-06-02 19:13:08,0.119
2025-06-02 19:13:10,0.121
2025-06-02 19:13:12,0.123
2025-06-02 19:13:14,0.123
2025-06-02 19:13:16,0.125
2025-06-02 19:13:18,0.127
2025-06-02 19:13:20,0.128
2025-06-02 19:13:22,0.128
2025-06-02 19:13:24,0.130
2025-06-02 19:13:26,0.131
2025-06-02 19:13:28,0.132
2025-06-02 19:13:30,0.132
2025-06-02 19:13:32,0.134
2025-06-02 19:13:34,0.135
2025-06-02 19:13:36,0.137
2025-06-02 19:13:38,0.138
2025-06-02 19:13:40,0.139
2025-06-02 19:13:42,0.139
2025-06-02 19:13:44,0.140
2025-06-02 19:13:46,0.141
2025-06-02 19:13:48,0.143
2025-06-02 19:13:50,0.143
2025-06-02 19:13:52,0.145
2025-06-02 19:13:54,0.145
2025-06-02 19:13:56,0.148
2025-06-02 19:13:58,0.149
2025-06-02 19:14:00,0.150
2025-06-02 19:14:02,0.152
2025-06-02 19:14:04,0.153
2025-06-02 19:14:06,0.153
2025-06-02 19:14:08,0.155
2025-06-02 19:14:10,0.156
2025-06-02 19:14:12,0.157
2025-06-02 19:14:14,0.159
2025-06-02 19:14:16,0.160
2025-06-02 19:14:18,0.160
2025-06-02 19:14:20,0.163
2025-06-02 19:14:22,0.164
2025-06-02 19:14:24,0.164
2025-06-02 19:14:26,0.167
2025-06-02 19:14:28,0.167
2025-06-02 19:14:30,0.170
2025-06-02 19:14:32,0.170
2025-06-02 19:14:34,0.172
2025-06-02 19:14:36,0.172
2025-06-02 19:14:38,0.174
2025-06-02 19:14:40,0.176
2025-06-02 19:14:42,0.177
2025-06-02 19:14:44,0.177
2025-06-02 19:14:46,0.179
2025-06-02 19:14:48,0.181
2025-06-02 19:14:50,0.182
2025-06-02 19:14:52,0.183
2025-06-02 19:14:54,0.184
2025-06-02 19:14:56,0.184
2025-06-02 19:14:58,0.186
2025-06-02 19:15:00,0.187
2025-06-02 19:15:02,0.189
2025-06-02 19:15:04,0.190
2025-06-02 19:15:06,0.191
2025-06-02 19:15:08,0.193
2025-06-02 19:15:10,0.194
2025-06-02 19:15:12,0.194
2025-06-02 19:15:14,0.196
2025-06-02 19:15:16,0.198
2025-06-02 19:15:18,0.199
2025-06-02 19:15:20,0.200
2025-06-02 19:15:22,0.201
2025-06-02 19:15:24,0.202
2025-06-02 19:15:26,0.202
2025-06-02 19:15:28,0.204
2025-06-02 19:15:30,0.205
2025-06-02 19:15:32,0.206
2025-06-02 19:15:34,0.207
2025-06-02 19:15:36,0.209
2025-06-02 19:15:38,0.210
2025-06-02 19:15:40,0.211
2025-06-02 19:15:42,0.213
2025-06-02 19:15:44,0.213
2025-06-02 19:15:46,0.214
2025-06-02 19:15:48,0.216
2025-06-02 19:15:50,0.216
2025-06-02 19:15:52,0.217
2025-06-02 19:15:54,0.219
2025-06-02 19:15:56,0.220
2025-06-02 19:15:58,0.220
2025-06-02 19:16:00,0.222
2025-06-02 19:16:02,0.224
2025-06-02 19:16:04,0.225
2025-06-02 19:16:06,0.225
2025-06-02 19:16:08,0.228
2025-06-02 19:16:10,0.230
2025-06-02 19:16:12,0.230
2025-06-02 19:16:14,0.233
2025-06-02 19:16:16,0.234
2025-06-02 19:16:18,0.234
2025-06-02 19:16:20,0.236
2025-06-02 19:16:22,0.238
2025-06-02 19:16:24,0.240
2025-06-02 19:16:26,0.240
2025-06-02 19:16:28,0.244
2025-06-02 19:16:30,0.244
2025-06-02 19:16:32,0.245
2025-06-02 19:16:34,0.247
2025-06-02 19:16:36,0.249
2025-06-02 19:16:38,0.250
2025-06-02 19:16:40,0.250
2025-06-02 19:16:42,0.252
2025-06-02 19:16:44,0.253
2025-06-02 19:16:46,0.254
2025-06-02 19:16:48,0.256
2025-06-02 19:16:50,0.257
2025-06-02 19:16:52,0.258
2025-06-02 19:16:54,0.260
2025-06-02 19:16:56,0.261
2025-06-02 19:16:58,0.261
2025-06-02 19:17:00,0.263
2025-06-02 19:17:02,0.265
2025-06-02 19:17:04,0.267
2025-06-02 19:17:06,0.267
2025-06-02 19:17:08,0.268
2025-06-02 19:17:10,0.270
2025-06-02 19:17:12,0.271
2025-06-02 19:17:14,0.271
2025-06-02 19:17:16,0.273
2025-06-02 19:17:18,0.275
2025-06-02 19:17:20,0.276
2025-06-02 19:17:22,0.278
2025-06-02 19:17:24,0.278
2025-06-02 19:17:26,0.281
2025-06-02 19:17:28,0.281
2025-06-02 19:17:30,0.281
2025-06-02 19:17:32,0.284
2025-06-02 19:17:34,0.284
2025-06-02 19:17:36,0.284
2025-06-02 19:17:38,0.286
2025-06-02 19:17:40,0.287
2025-06-02 19:17:42,0.288
2025-06-02 19:17:44,0.288
2025-06-02 19:17:46,0.290
2025-06-02 19:17:48,0.291
2025-06-02 19:17:50,0.291
2025-06-02 19:17:52,0.293
2025-06-02 19:17:54,0.293
2025-06-02 19:17:56,0.294
2025-06-02 19:17:58,0.295
2025-06-02 19:18:00,0.295
2025-06-02 19:18:02,0.297
2025-06-02 19:18:04,0.298
2025-06-02 19:18:06,0.298
2025-06-02 19:18:08,0.300
2025-06-02 19:18:10,0.301
2025-06-02 19:18:12,0.301
2025-06-02 19:18:14,0.302
2025-06-02 19:18:16,0.302
2025-06-02 19:18:18,0.305
2025-06-02 19:18:20,0.305
2025-06-02 19:18:22,0.306
2025-06-02 19:18:24,0.306
2025-06-02 19:18:26,0.308
2025-06-02 19:18:28,0.309
2025-06-02 19:18:30,0.310
2025-06-02 19:18:32,0.310
2025-06-02 19:18:34,0.312
2025-06-02 19:18:36,0.313
2025-06-02 19:18:38,0.314
2025-06-02 19:18:40,0.315
2025-06-02 19:18:42,0.316
2025-06-02 19:18:44,0.317
2025-06-02 19:18:46,0.317
2025-06-02 19:18:48,0.319
2025-06-02 19:18:50,0.320
2025-06-02 19:18:52,0.320
2025-06-02 19:18:54,0.320
2025-06-02 19:18:56,0.321
2025-06-02 19:18:58,0.322
2025-06-02 19:19:00,0.322
2025-06-02 19:19:02,0.324
2025-06-02 19:19:04,0.324
2025-06-02 19:19:06,0.325
2025-06-02 19:19:08,0.326
2025-06-02 19:19:10,0.326
2025-06-02 19:19:12,0.328
2025-06-02 19:19:14,0.328
2025-06-02 19:19:16,0.328
2025-06-02 19:19:18,0.329
2025-06-02 19:19:20,0.329
2025-06-02 19:19:22,0.331
2025-06-02 19:19:24,0.332
2025-06-02 19:19:26,0.333
2025-06-02 19:19:28,0.333
2025-06-02 19:19:30,0.335
2025-06-02 19:19:32,0.335
2025-06-02 19:19:34,0.337
2025-06-02 19:19:36,0.338
2025-06-02 19:19:38,0.338
2025-06-02 19:19:40,0.339
2025-06-02 19:19:42,0.340
2025-06-02 19:19:44,0.341
2025-06-02 19:19:46,0.342
2025-06-02 19:19:48,0.343
2025-06-02 19:19:50,0.343
2025-06-02 19:19:52,0.345
2025-06-02 19:19:54,0.346
2025-06-02 19:19:56,0.346
2025-06-02 19:19:58,0.347
2025-06-02 19:20:00,0.349
2025-06-02 19:20:02,0.351
2025-06-02 19:20:04,0.351
2025-06-02 19:20:06,0.352
2025-06-02 19:20:08,0.353
2025-06-02 19:20:10,0.354
2025-06-02 19:20:12,0.354
2025-06-02 19:20:14,0.356
2025-06-02 19:20:16,0.356
2025-06-02 19:20:18,0.356
2025-06-02 19:20:20,0.358
2025-06-02 19:20:22,0.359
2025-06-02 19:20:24,0.361
2025-06-02 19:20:26,0.361
2025-06-02 19:20:28,0.362
2025-06-02 19:20:30,0.364
2025-06-02 19:20:32,0.365
2025-06-02 19:20:34,0.365
2025-06-02 19:20:36,0.366
2025-06-02 19:20:38,0.368
2025-06-02 19:20:40,0.368
2025-06-02 19:20:42,0.368
2025-06-02 19:20:44,0.370
2025-06-02 19:20:46,0.371
2025-06-02 19:20:48,0.372
2025-06-02 19:20:50,0.374
2025-06-02 19:20:52,0.374
2025-06-02 19:20:54,0.375
2025-06-02 19:20:56,0.376
2025-06-02 19:20:58,0.378
2025-06-02 19:21:00,0.378
2025-06-02 19:21:02,0.380
2025-06-02 19:21:04,0.379
2025-06-02 19:21:06,0.380
2025-06-02 19:21:08,0.380
2025-06-02 19:21:10,0.380
2025-06-02 19:21:12,0.380
2025-06-02 19:21:14,0.380
2025-06-02 19:21:16,0.380
2025-06-02 19:21:18,0.380
2025-06-02 19:21:20,0.379
2025-06-02 19:21:22,0.380
2025-06-02 19:21:24,0.380
2025-06-02 19:21:26,0.380
2025-06-02 19:21:28,0.380
2025-06-02 19:21:30,0.380
2025-06-02 19:21:32,0.380
2025-06-02 19:21:34,0.380
2025-06-02 19:21:36,0.380
2025-06-02 19:21:38,0.380
2025-06-02 19:21:40,0.380
2025-06-02 19:21:42,0.380
2025-06-02 19:21:44,0.380
2025-06-02 19:21:46,0.380
2025-06-02 19:21:48,0.380
2025-06-02 19:21:50,0.380
2025-06-02 19:21:52,0.380
2025-06-02 19:21:54,0.380
2025-06-02 19:21:56,0.380
2025-06-02 19:21:58,0.380
2025-06-02 19:22:00,0.380
2025-06-02 19:22:02,0.380
2025-06-02 19:22:04,0.380
2025-06-02 19:22:06,0.380
2025-06-02 19:22:08,0.380
2025-06-02 19:22:10,0.380
2025-06-02 19:22:12,0.380
2025-06-02 19:22:14,0.380
2025-06-02 19:22:16,0.380
2025-06-02 19:22:18,0.380
2025-06-02 19:22:20,0.380
2025-06-02 19:22:22,0.380
2025-06-02 19:22:24,0.380
2025-06-02 19:22:26,0.380
2025-06-02 19:22:28,0.380
2025-06-02 19:22:30,0.380
2025-06-02 19:22:32,0.380
2025-06-02 19:22:34,0.380
2025-06-02 19:22:36,0.380
2025-06-02 19:22:38,0.380
2025-06-02 19:22:40,0.380
2025-06-02 19:22:42,0.380
2025-06-02 19:22:44,0.380
2025-06-02 19:22:46,0.380
2025-06-02 19:22:48,0.380
2025-06-02 19:22:50,0.380
2025-06-02 19:22:52,0.380
2025-06-02 19:22:54,0.380
2025-06-02 19:22:56,0.380
2025-06-02 19:22:58,0.380
2025-06-02 19:23:00,0.380
2025-06-02 19:23:02,0.380
2025-06-02 19:23:04,0.380
2025-06-02 19:23:06,0.380
2025-06-02 19:23:08,0.380
2025-06-02 19:23:10,0.380
2025-06-02 19:23:12,0.379
2025-06-02 19:23:14,0.380
2025-06-02 19:23:16,0.380
2025-06-02 19:23:18,0.379
2025-06-02 19:23:20,0.380
2025-06-02 19:23:22,0.380
2025-06-02 19:23:24,0.380
2025-06-02 19:23:26,0.380
2025-06-02 19:23:28,0.380
2025-06-02 19:23:30,0.380
2025-06-02 19:23:32,0.380
2025-06-02 19:23:34,0.380
2025-06-02 19:23:36,0.380
2025-06-02 19:23:38,0.380
2025-06-02 19:23:40,0.380
2025-06-02 19:23:42,0.380
2025-06-02 19:23:44,0.380
2025-06-02 19:23:46,0.380
2025-06-02 19:23:48,0.380
2025-06-02 19:23:50,0.380
2025-06-02 19:23:52,0.380
2025-06-02 19:23:54,0.380
2025-06-02 19:23:56,0.380
2025-06-02 19:23:58,0.380
2025-06-02 19:24:00,0.380
2025-06-02 19:24:02,0.380
2025-06-02 19:24:04,0.380
2025-06-02 19:24:06,0.380
2025-06-02 19:24:08,0.380
2025-06-02 19:24:10,0.380
2025-06-02 19:24:12,0.380
2025-06-02 19:24:14,0.380
2025-06-02 19:24:16,0.380
2025-06-02 19:24:18,0.380
2025-06-02 19:24:20,0.380
2025-06-02 19:24:22,0.380
2025-06-02 19:24:24,0.380
2025-06-02 19:24:26,0.380
2025-06-02 19:24:28,0.380
2025-06-02 19:24:30,0.380
2025-06-02 19:24:32,0.379
2025-06-02 19:24:34,0.380
2025-06-02 19:24:36,0.380
2025-06-02 19:24:38,0.380
2025-06-02 19:24:40,0.380
2025-06-02 19:24:42,0.380
2025-06-02 19:24:44,0.380
2025-06-02 19:24:46,0.380
2025-06-02 19:24:48,0.380
2025-06-02 19:24:50,0.380
2025-06-02 19:24:52,0.380
2025-06-02 19:24:54,0.380
2025-06-02 19:24:56,0.380
2025-06-02 19:24:58,0.380
2025-06-02 19:25:00,0.380
2025-06-02 19:25:02,0.380
2025-06-02 19:25:04,0.380
2025-06-02 19:25:06,0.379
2025-06-02 19:25:08,0.380
2025-06-02 19:25:10,0.380
2025-06-02 19:25:12,0.380
2025-06-02 19:25:14,0.380
2025-06-02 19:25:16,0.380
2025-06-02 19:25:18,0.380
2025-06-02 19:25:20,0.380
2025-06-02 19:25:22,0.380
2025-06-02 19:25:24,0.380
2025-06-02 19:25:26,0.380
2025-06-02 19:25:28,0.380
2025-06-02 19:25:30,0.380
2025-06-02 19:25:32,0.380
2025-06-02 19:25:34,0.380
2025-06-02 19:25:36,0.380
2025-06-02 19:25:38,0.380
2025-06-02 19:25:40,0.380
2025-06-02 19:25:42,0.380
2025-06-02 19:25:44,0.380
2025-06-02 19:25:46,0.380
2025-06-02 19:25:48,0.380
2025-06-02 19:25:50,0.380
2025-06-02 19:25:52,0.380
2025-06-02 19:25:54,0.380
2025-06-02 19:25:56,0.380
2025-06-02 19:25:58,0.380
2025-06-02 19:26:00,0.380
2025-06-02 19:26:02,0.380
2025-06-02 19:26:04,0.380
2025-06-02 19:26:06,0.380
2025-06-02 19:26:08,0.380
2025-06-02 19:26:10,0.380
2025-06-02 19:26:12,0.380
2025-06-02 19:26:14,0.380
2025-06-02 19:26:16,0.380
2025-06-02 19:26:18,0.380
2025-06-02 19:26:20,0.380
2025-06-02 19:26:22,0.380
2025-06-02 19:26:24,0.380
2025-06-02 19:26:26,0.380
2025-06-02 19:26:28,0.380
2025-06-02 19:26:30,0.380
2025-06-02 19:26:32,0.380
2025-06-02 19:26:34,0.380
2025-06-02 19:26:36,0.380
2025-06-02 19:26:38,0.379
2025-06-02 19:26:40,0.380
2025-06-02 19:26:42,0.380
2025-06-02 19:26:44,0.380
2025-06-02 19:26:46,0.380
2025-06-02 19:26:48,0.380
2025-06-02 19:26:50,0.380
2025-06-02 19:26:52,0.380
2025-06-02 19:26:54,0.380
2025-06-02 19:26:56,0.380
2025-06-02 19:26:58,0.380
2025-06-02 19:27:00,0.380
2025-06-02 19:27:02,0.380
2025-06-02 19:27:04,0.380
2025-06-02 19:27:06,0.380
2025-06-02 19:27:08,0.380
2025-06-02 19:27:10,0.380
2025-06-02 19:27:12,0.380
2025-06-02 19:27:14,0.380
2025-06-02 19:27:16,0.380
2025-06-02 19:27:18,0.380
2025-06-02 19:27:20,0.380
2025-06-02 19:27:22,0.380
2025-06-02 19:27:24,0.380
2025-06-02 19:27:26,0.380
2025-06-02 19:27:28,0.380
2025-06-02 19:27:30,0.380
2025-06-02 19:27:32,0.380
2025-06-02 19:27:34,0.380
2025-06-02 19:27:36,0.380
2025-06-02 19:27:38,0.380
2025-06-02 19:27:40,0.380
2025-06-02 19:27:42,0.380
2025-06-02 19:27:44,0.380
2025-06-02 19:27:46,0.380
2025-06-02 19:27:48,0.380
2025-06-02 19:27:50,0.380
2025-06-02 19:27:52,0.380
